tag_year,tag_month,month_first_date,month_relative_int,budget_category,budget_monthly_amount,budget_mtd_amount,budget_daily_average_amount,actual_monthly_amount,actual_daily_average_amount,actual_daily_average_remaining_amount,actual_pre_month_amount,delta_monthly_amount,delta_daily_average_amount,budget_sort_order,budget_envelope_amount,actual_envelope_amount,envelope_in_amount,envelope_out_amount
2024,"2024-12","2024-12-01",-4,"Grocery",100.0000000000000000,71,3,67,3,0,0,34.0000000000000000,3,7,300.0000000000000000,171,96.0000000000000000,129.0000000000000000
2024,"2024-10","2024-10-01",-6,"Moving Transport",50.0000000000000000,35,1,0,0,0,0,-50.0000000000000000,0,3,50.0000000000000000,0,0,50.0000000000000000
2024,"2024-11","2024-11-01",-5,"Moving Transport",50.0000000000000000,36,1,77,4,0,7,104.0000000000000000,0,3,100.0000000000000000,77,50.0000000000000000,23.0000000000000000
2024,"2024-12","2024-12-01",-4,"Moving Transport",50.0000000000000000,35,1,6,0,0,0,-38.0000000000000000,0,3,150.0000000000000000,83,23.0000000000000000,67.0000000000000000
2024,"2024-10","2024-10-01",-6,"Rent",250.0000000000000000,177,8,0,0,2,0,-250.0000000000000000,0,2,250.0000000000000000,0,0,250.0000000000000000
2024,"2024-11","2024-11-01",-5,"Rent",250.0000000000000000,183,8,507,25,-2,47,764.0000000000000000,0,2,500.0000000000000000,507,250.0000000000000000,-7.0000000000000000
2024,"2024-12","2024-12-01",-4,"Rent",250.0000000000000000,177,8,367,18,-1,28,484.0000000000000000,0,2,750.0000000000000000,874,-7.0000000000000000,-124.0000000000000000
2024,"2024-10","2024-10-01",-6,"Stuff",37.5000000000000000,26,1,0,0,0,0,-37.5000000000000000,-1,4,37.5000000000000000,0,0,37.5000000000000000
2024,"2024-11","2024-11-01",-5,"Stuff",37.5000000000000000,27,1,15,1,0,0,-7.5000000000000000,1,4,75.0000000000000000,15,37.5000000000000000,60.0000000000000000
2024,"2024-12","2024-12-01",-4,"Stuff",37.5000000000000000,26,1,8,0,0,0,-21.5000000000000000,-1,4,112.5000000000000000,23,60.0000000000000000,89.5000000000000000
2024,"2024-10","2024-10-01",-6,"Total",812.5000000000000000,574,0,3,0,0,0,-806.5000000000000000,0,0,812.5000000000000000,3,0,809.5000000000000000
2024,"2024-11","2024-11-01",-5,"Total",812.5000000000000000,593,0,948,0,0,0,1083.5000000000000000,0,0,1625.0000000000000000,951,809.5000000000000000,674.0000000000000000
2024,"2024-12","2024-12-01",-4,"Total",812.5000000000000000,574,0,650,0,0,0,487.5000000000000000,0,0,2437.5000000000000000,1601,674.0000000000000000,836.5000000000000000
2025,"2025-01","2025-01-01",-3,"Annual",200.0000000000000000,141,6,204,10,0,18,208.0000000000000000,14,1,200.0000000000000000,204,0,-4.0000000000000000
2025,"2025-02","2025-02-01",-2,"Annual",200.0000000000000000,157,7,202,10,0,11,204.0000000000000000,13,1,400.0000000000000000,406,-4.0000000000000000,-6.0000000000000000
2025,"2025-03","2025-03-01",-1,"Annual",200.0000000000000000,141,6,204,10,0,18,208.0000000000000000,14,1,600.0000000000000000,610,-6.0000000000000000,-10.0000000000000000
2025,"2025-04","2025-04-01",0,"Annual",200.0000000000000000,146,6,205,10,0,19,210.0000000000000000,14,1,800.0000000000000000,815,-10.0000000000000000,-15.0000000000000000
2025,"2025-05","2025-05-01",1,"Annual",200.0000000000000000,141,6,193,10,0,19,186.0000000000000000,14,1,1000.0000000000000000,1008,-15.0000000000000000,-8.0000000000000000
2025,"2025-06","2025-06-01",2,"Annual",200.0000000000000000,146,6,193,10,0,19,186.0000000000000000,14,1,1200.0000000000000000,1201,-8.0000000000000000,-1.0000000000000000
2025,"2025-07","2025-07-01",3,"Annual",200.0000000000000000,141,6,193,10,0,19,186.0000000000000000,14,1,1400.0000000000000000,1394,-1.0000000000000000,6.0000000000000000
2025,"2025-08","2025-08-01",4,"Annual",200.0000000000000000,141,6,193,10,0,19,186.0000000000000000,14,1,1600.0000000000000000,1587,6.0000000000000000,13.0000000000000000
2025,"2025-09","2025-09-01",5,"Annual",200.0000000000000000,146,6,191,10,0,19,182.0000000000000000,14,1,1800.0000000000000000,1778,13.0000000000000000,22.0000000000000000
2025,"2025-10","2025-10-01",6,"Annual",200.0000000000000000,141,6,191,10,0,19,182.0000000000000000,14,1,2000.0000000000000000,1969,22.0000000000000000,31.0000000000000000
2025,"2025-11","2025-11-01",7,"Annual",200.0000000000000000,146,6,194,10,0,14,188.0000000000000000,14,1,2200.0000000000000000,2163,31.0000000000000000,37.0000000000000000
2025,"2025-12","2025-12-01",8,"Annual",200.0000000000000000,141,6,194,10,0,14,188.0000000000000000,14,1,2400.0000000000000000,2357,37.0000000000000000,43.0000000000000000
2025,"2025-01","2025-01-01",-3,"Eat Out",100.0000000000000000,71,3,122,6,0,0,144.0000000000000000,9,6,100.0000000000000000,122,0,-22.0000000000000000
2025,"2025-02","2025-02-01",-2,"Eat Out",100.0000000000000000,78,3,96,5,0,0,92.0000000000000000,7,6,200.0000000000000000,218,-22.0000000000000000,-18.0000000000000000
2025,"2025-03","2025-03-01",-1,"Eat Out",100.0000000000000000,71,3,100,5,0,0,100.0000000000000000,7,6,300.0000000000000000,318,-18.0000000000000000,-18.0000000000000000
2025,"2025-04","2025-04-01",0,"Eat Out",100.0000000000000000,73,3,31,2,0,0,-38.0000000000000000,1,6,400.0000000000000000,349,-18.0000000000000000,51.0000000000000000
2025,"2025-05","2025-05-01",1,"Eat Out",100.0000000000000000,71,3,0,0,0,0,-100.0000000000000000,-3,6,500.0000000000000000,349,51.0000000000000000,151.0000000000000000
2025,"2025-06","2025-06-01",2,"Eat Out",100.0000000000000000,73,3,0,0,1,0,-100.0000000000000000,-3,6,600.0000000000000000,349,151.0000000000000000,251.0000000000000000
2025,"2025-07","2025-07-01",3,"Eat Out",100.0000000000000000,71,3,0,0,0,0,-100.0000000000000000,-3,6,700.0000000000000000,349,251.0000000000000000,351.0000000000000000
2025,"2025-08","2025-08-01",4,"Eat Out",100.0000000000000000,71,3,0,0,0,0,-100.0000000000000000,-3,6,800.0000000000000000,349,351.0000000000000000,451.0000000000000000
2025,"2025-09","2025-09-01",5,"Eat Out",100.0000000000000000,73,3,0,0,1,0,-100.0000000000000000,-3,6,900.0000000000000000,349,451.0000000000000000,551.0000000000000000
2025,"2025-10","2025-10-01",6,"Eat Out",100.0000000000000000,71,3,0,0,0,0,-100.0000000000000000,-3,6,1000.0000000000000000,349,551.0000000000000000,651.0000000000000000
2025,"2025-11","2025-11-01",7,"Eat Out",100.0000000000000000,73,3,0,0,1,0,-100.0000000000000000,-3,6,1100.0000000000000000,349,651.0000000000000000,751.0000000000000000
2025,"2025-12","2025-12-01",8,"Eat Out",100.0000000000000000,71,3,0,0,0,0,-100.0000000000000000,-3,6,1200.0000000000000000,349,751.0000000000000000,851.0000000000000000
2025,"2025-01","2025-01-01",-3,"Entertainment",75.0000000000000000,53,2,32,2,0,0,-11.0000000000000000,2,5,75.0000000000000000,32,0,43.0000000000000000
2025,"2025-02","2025-02-01",-2,"Entertainment",75.0000000000000000,58,2,96,5,0,7,117.0000000000000000,8,5,150.0000000000000000,128,43.0000000000000000,22.0000000000000000
2025,"2025-03","2025-03-01",-1,"Entertainment",75.0000000000000000,53,2,30,2,0,0,-15.0000000000000000,2,5,225.0000000000000000,158,22.0000000000000000,67.0000000000000000
2025,"2025-04","2025-04-01",0,"Entertainment",75.0000000000000000,55,2,10,0,0,0,-55.0000000000000000,-2,5,300.0000000000000000,168,67.0000000000000000,132.0000000000000000
2025,"2025-05","2025-05-01",1,"Entertainment",75.0000000000000000,53,2,8,0,0,0,-59.0000000000000000,-2,5,375.0000000000000000,176,132.0000000000000000,199.0000000000000000
2025,"2025-06","2025-06-01",2,"Entertainment",75.0000000000000000,55,2,3,0,0,0,-69.0000000000000000,-2,5,450.0000000000000000,179,199.0000000000000000,271.0000000000000000
2025,"2025-07","2025-07-01",3,"Entertainment",75.0000000000000000,53,2,0,0,0,0,-75.0000000000000000,-2,5,525.0000000000000000,179,271.0000000000000000,346.0000000000000000
2025,"2025-08","2025-08-01",4,"Entertainment",75.0000000000000000,53,2,0,0,0,0,-75.0000000000000000,-2,5,600.0000000000000000,179,346.0000000000000000,421.0000000000000000
2025,"2025-09","2025-09-01",5,"Entertainment",75.0000000000000000,55,2,0,0,0,0,-75.0000000000000000,-2,5,675.0000000000000000,179,421.0000000000000000,496.0000000000000000
2025,"2025-10","2025-10-01",6,"Entertainment",75.0000000000000000,53,2,0,0,0,0,-75.0000000000000000,-2,5,750.0000000000000000,179,496.0000000000000000,571.0000000000000000
2025,"2025-11","2025-11-01",7,"Entertainment",75.0000000000000000,55,2,0,0,0,0,-75.0000000000000000,-2,5,825.0000000000000000,179,571.0000000000000000,646.0000000000000000
2025,"2025-12","2025-12-01",8,"Entertainment",75.0000000000000000,53,2,0,0,0,0,-75.0000000000000000,-2,5,900.0000000000000000,179,646.0000000000000000,721.0000000000000000
2025,"2025-01","2025-01-01",-3,"Grocery",100.0000000000000000,71,3,82,4,0,0,64.0000000000000000,5,7,100.0000000000000000,82,0,18.0000000000000000
2025,"2025-02","2025-02-01",-2,"Grocery",100.0000000000000000,78,3,62,3,0,0,24.0000000000000000,3,7,200.0000000000000000,144,18.0000000000000000,56.0000000000000000
2025,"2025-03","2025-03-01",-1,"Grocery",100.0000000000000000,71,3,75,4,0,0,50.0000000000000000,5,7,300.0000000000000000,219,56.0000000000000000,81.0000000000000000
2025,"2025-04","2025-04-01",0,"Grocery",100.0000000000000000,73,3,52,3,0,0,4.0000000000000000,3,7,400.0000000000000000,271,81.0000000000000000,129.0000000000000000
2025,"2025-05","2025-05-01",1,"Grocery",100.0000000000000000,71,3,0,0,0,0,-100.0000000000000000,-3,7,500.0000000000000000,271,129.0000000000000000,229.0000000000000000
2025,"2025-06","2025-06-01",2,"Grocery",100.0000000000000000,73,3,0,0,1,0,-100.0000000000000000,-3,7,600.0000000000000000,271,229.0000000000000000,329.0000000000000000
2025,"2025-07","2025-07-01",3,"Grocery",100.0000000000000000,71,3,0,0,0,0,-100.0000000000000000,-3,7,700.0000000000000000,271,329.0000000000000000,429.0000000000000000
2025,"2025-08","2025-08-01",4,"Grocery",100.0000000000000000,71,3,0,0,0,0,-100.0000000000000000,-3,7,800.0000000000000000,271,429.0000000000000000,529.0000000000000000
2025,"2025-09","2025-09-01",5,"Grocery",100.0000000000000000,73,3,0,0,1,0,-100.0000000000000000,-3,7,900.0000000000000000,271,529.0000000000000000,629.0000000000000000
2025,"2025-10","2025-10-01",6,"Grocery",100.0000000000000000,71,3,0,0,0,0,-100.0000000000000000,-3,7,1000.0000000000000000,271,629.0000000000000000,729.0000000000000000
2025,"2025-11","2025-11-01",7,"Grocery",100.0000000000000000,73,3,0,0,1,0,-100.0000000000000000,-3,7,1100.0000000000000000,271,729.0000000000000000,829.0000000000000000
2025,"2025-12","2025-12-01",8,"Grocery",100.0000000000000000,71,3,0,0,0,0,-100.0000000000000000,-3,7,1200.0000000000000000,271,829.0000000000000000,929.0000000000000000
2025,"2025-01","2025-01-01",-3,"Moving Transport",50.0000000000000000,35,1,1,0,0,0,-48.0000000000000000,0,3,50.0000000000000000,1,0,49.0000000000000000
2025,"2025-02","2025-02-01",-2,"Moving Transport",50.0000000000000000,39,1,59,3,0,5,68.0000000000000000,0,3,100.0000000000000000,60,49.0000000000000000,40.0000000000000000
2025,"2025-03","2025-03-01",-1,"Moving Transport",50.0000000000000000,35,1,7,0,0,0,-36.0000000000000000,0,3,150.0000000000000000,67,40.0000000000000000,83.0000000000000000
2025,"2025-04","2025-04-01",0,"Moving Transport",50.0000000000000000,36,1,7,0,0,0,-36.0000000000000000,0,3,200.0000000000000000,74,83.0000000000000000,126.0000000000000000
2025,"2025-05","2025-05-01",1,"Moving Transport",50.0000000000000000,35,1,53,3,0,4,56.0000000000000000,0,3,250.0000000000000000,127,126.0000000000000000,123.0000000000000000
2025,"2025-06","2025-06-01",2,"Moving Transport",50.0000000000000000,36,1,49,2,0,0,48.0000000000000000,0,3,300.0000000000000000,176,123.0000000000000000,124.0000000000000000
2025,"2025-07","2025-07-01",3,"Moving Transport",50.0000000000000000,35,1,45,2,0,0,40.0000000000000000,0,3,350.0000000000000000,221,124.0000000000000000,129.0000000000000000
2025,"2025-08","2025-08-01",4,"Moving Transport",50.0000000000000000,35,1,30,1,0,3,10.0000000000000000,0,3,400.0000000000000000,251,129.0000000000000000,149.0000000000000000
2025,"2025-09","2025-09-01",5,"Moving Transport",50.0000000000000000,36,1,25,1,0,0,0E-16,0,3,450.0000000000000000,276,149.0000000000000000,174.0000000000000000
2025,"2025-10","2025-10-01",6,"Moving Transport",50.0000000000000000,35,1,10,1,0,0,-30.0000000000000000,0,3,500.0000000000000000,286,174.0000000000000000,214.0000000000000000
2025,"2025-11","2025-11-01",7,"Moving Transport",50.0000000000000000,36,1,74,4,0,6,98.0000000000000000,0,3,550.0000000000000000,360,214.0000000000000000,190.0000000000000000
2025,"2025-12","2025-12-01",8,"Moving Transport",50.0000000000000000,35,1,0,0,0,0,-50.0000000000000000,0,3,600.0000000000000000,360,190.0000000000000000,240.0000000000000000
2025,"2025-01","2025-01-01",-3,"Rent",250.0000000000000000,177,8,270,14,0,27,290.0000000000000000,0,2,250.0000000000000000,270,0,-20.0000000000000000
2025,"2025-02","2025-02-01",-2,"Rent",250.0000000000000000,196,8,234,12,0,20,218.0000000000000000,0,2,500.0000000000000000,504,-20.0000000000000000,-4.0000000000000000
2025,"2025-03","2025-03-01",-1,"Rent",250.0000000000000000,177,8,184,9,0,18,118.0000000000000000,0,2,750.0000000000000000,688,-4.0000000000000000,62.0000000000000000
2025,"2025-04","2025-04-01",0,"Rent",250.0000000000000000,183,8,183,9,0,18,116.0000000000000000,0,2,1000.0000000000000000,871,62.0000000000000000,129.0000000000000000
2025,"2025-05","2025-05-01",1,"Rent",250.0000000000000000,177,8,160,8,0,16,70.0000000000000000,0,2,1250.0000000000000000,1031,129.0000000000000000,219.0000000000000000
2025,"2025-06","2025-06-01",2,"Rent",250.0000000000000000,183,8,158,8,0,15,66.0000000000000000,0,2,1500.0000000000000000,1189,219.0000000000000000,311.0000000000000000
2025,"2025-07","2025-07-01",3,"Rent",250.0000000000000000,177,8,298,15,0,29,346.0000000000000000,0,2,1750.0000000000000000,1487,311.0000000000000000,263.0000000000000000
2025,"2025-08","2025-08-01",4,"Rent",250.0000000000000000,177,8,475,24,-2,47,700.0000000000000000,0,2,2000.0000000000000000,1962,263.0000000000000000,38.0000000000000000
2025,"2025-09","2025-09-01",5,"Rent",250.0000000000000000,183,8,174,9,0,12,98.0000000000000000,0,2,2250.0000000000000000,2136,38.0000000000000000,114.0000000000000000
2025,"2025-10","2025-10-01",6,"Rent",250.0000000000000000,177,8,171,9,0,17,92.0000000000000000,0,2,2500.0000000000000000,2307,114.0000000000000000,193.0000000000000000
2025,"2025-11","2025-11-01",7,"Rent",250.0000000000000000,183,8,125,6,1,5,0E-16,0,2,2750.0000000000000000,2432,193.0000000000000000,318.0000000000000000
2025,"2025-12","2025-12-01",8,"Rent",250.0000000000000000,177,8,416,21,-1,41,582.0000000000000000,0,2,3000.0000000000000000,2848,318.0000000000000000,152.0000000000000000
2025,"2025-01","2025-01-01",-3,"Stuff",37.5000000000000000,26,1,17,1,0,0,-3.5000000000000000,1,4,37.5000000000000000,17,0,20.5000000000000000
2025,"2025-02","2025-02-01",-2,"Stuff",37.5000000000000000,29,1,8,0,0,0,-21.5000000000000000,-1,4,75.0000000000000000,25,20.5000000000000000,50.0000000000000000
2025,"2025-03","2025-03-01",-1,"Stuff",37.5000000000000000,26,1,24,1,0,0,10.5000000000000000,1,4,112.5000000000000000,49,50.0000000000000000,63.5000000000000000
2025,"2025-04","2025-04-01",0,"Stuff",37.5000000000000000,27,1,18,1,0,0,-1.5000000000000000,1,4,150.0000000000000000,67,63.5000000000000000,83.0000000000000000
2025,"2025-05","2025-05-01",1,"Stuff",37.5000000000000000,26,1,0,0,0,0,-37.5000000000000000,-1,4,187.5000000000000000,67,83.0000000000000000,120.5000000000000000
2025,"2025-06","2025-06-01",2,"Stuff",37.5000000000000000,27,1,0,0,0,0,-37.5000000000000000,-1,4,225.0000000000000000,67,120.5000000000000000,158.0000000000000000
2025,"2025-07","2025-07-01",3,"Stuff",37.5000000000000000,26,1,0,0,0,0,-37.5000000000000000,-1,4,262.5000000000000000,67,158.0000000000000000,195.5000000000000000
2025,"2025-08","2025-08-01",4,"Stuff",37.5000000000000000,26,1,0,0,0,0,-37.5000000000000000,-1,4,300.0000000000000000,67,195.5000000000000000,233.0000000000000000
2025,"2025-09","2025-09-01",5,"Stuff",37.5000000000000000,27,1,0,0,0,0,-37.5000000000000000,-1,4,337.5000000000000000,67,233.0000000000000000,270.5000000000000000
2025,"2025-10","2025-10-01",6,"Stuff",37.5000000000000000,26,1,0,0,0,0,-37.5000000000000000,-1,4,375.0000000000000000,67,270.5000000000000000,308.0000000000000000
2025,"2025-11","2025-11-01",7,"Stuff",37.5000000000000000,27,1,0,0,0,0,-37.5000000000000000,-1,4,412.5000000000000000,67,308.0000000000000000,345.5000000000000000
2025,"2025-12","2025-12-01",8,"Stuff",37.5000000000000000,26,1,0,0,0,0,-37.5000000000000000,-1,4,450.0000000000000000,67,345.5000000000000000,383.0000000000000000
2025,"2025-01","2025-01-01",-3,"Total",812.5000000000000000,574,0,728,0,0,0,643.5000000000000000,0,0,812.5000000000000000,728,0,84.5000000000000000
2025,"2025-02","2025-02-01",-2,"Total",812.5000000000000000,635,0,757,0,0,0,701.5000000000000000,0,0,1625.0000000000000000,1485,84.5000000000000000,140.0000000000000000
2025,"2025-03","2025-03-01",-1,"Total",812.5000000000000000,574,0,624,0,0,0,435.5000000000000000,0,0,2437.5000000000000000,2109,140.0000000000000000,328.5000000000000000
2025,"2025-04","2025-04-01",0,"Total",812.5000000000000000,593,0,506,0,0,0,199.5000000000000000,0,0,3250.0000000000000000,2615,328.5000000000000000,635.0000000000000000
2025,"2025-05","2025-05-01",1,"Total",812.5000000000000000,574,0,414,0,0,0,15.5000000000000000,0,0,4062.5000000000000000,3029,635.0000000000000000,1033.5000000000000000
2025,"2025-06","2025-06-01",2,"Total",812.5000000000000000,593,0,403,0,0,0,-6.5000000000000000,0,0,4875.0000000000000000,3432,1033.5000000000000000,1443.0000000000000000
2025,"2025-07","2025-07-01",3,"Total",812.5000000000000000,574,0,536,0,0,0,259.5000000000000000,0,0,5687.5000000000000000,3968,1443.0000000000000000,1719.5000000000000000
2025,"2025-08","2025-08-01",4,"Total",812.5000000000000000,574,0,698,0,0,0,583.5000000000000000,0,0,6500.0000000000000000,4666,1719.5000000000000000,1834.0000000000000000
2025,"2025-09","2025-09-01",5,"Total",812.5000000000000000,593,0,390,0,0,0,-32.5000000000000000,0,0,7312.5000000000000000,5056,1834.0000000000000000,2256.5000000000000000
2025,"2025-10","2025-10-01",6,"Total",812.5000000000000000,574,0,372,0,0,0,-68.5000000000000000,0,0,8125.0000000000000000,5428,2256.5000000000000000,2697.0000000000000000
2025,"2025-11","2025-11-01",7,"Total",812.5000000000000000,593,0,393,0,0,0,-26.5000000000000000,0,0,8937.5000000000000000,5821,2697.0000000000000000,3116.5000000000000000
2025,"2025-12","2025-12-01",8,"Total",812.5000000000000000,574,0,610,0,0,0,407.5000000000000000,0,0,9750.0000000000000000,6431,3116.5000000000000000,3319.0000000000000000
2026,"2026-01","2026-01-01",9,"Annual",200.0000000000000000,141,6,3,0,1,0,-194.0000000000000000,-6,1,200.0000000000000000,3,0,197.0000000000000000
2026,"2026-02","2026-02-01",10,"Annual",200.0000000000000000,157,7,2,0,2,0,-196.0000000000000000,-7,1,400.0000000000000000,5,197.0000000000000000,395.0000000000000000
2026,"2026-03","2026-03-01",11,"Annual",200.0000000000000000,141,6,1,0,1,0,-198.0000000000000000,-6,1,600.0000000000000000,6,395.0000000000000000,594.0000000000000000
2026,"2026-01","2026-01-01",9,"Eat Out",100.0000000000000000,71,3,0,0,0,0,-100.0000000000000000,-3,6,100.0000000000000000,0,0,100.0000000000000000
2026,"2026-02","2026-02-01",10,"Eat Out",100.0000000000000000,78,3,0,0,1,0,-100.0000000000000000,-3,6,200.0000000000000000,0,100.0000000000000000,200.0000000000000000
2026,"2026-03","2026-03-01",11,"Eat Out",100.0000000000000000,71,3,0,0,0,0,-100.0000000000000000,-3,6,300.0000000000000000,0,200.0000000000000000,300.0000000000000000
2026,"2026-01","2026-01-01",9,"Entertainment",75.0000000000000000,53,2,0,0,0,0,-75.0000000000000000,-2,5,75.0000000000000000,0,0,75.0000000000000000
2026,"2026-02","2026-02-01",10,"Entertainment",75.0000000000000000,58,2,0,0,0,0,-75.0000000000000000,-2,5,150.0000000000000000,0,75.0000000000000000,150.0000000000000000
2026,"2026-03","2026-03-01",11,"Entertainment",75.0000000000000000,53,2,0,0,0,0,-75.0000000000000000,-2,5,225.0000000000000000,0,150.0000000000000000,225.0000000000000000
2026,"2026-01","2026-01-01",9,"Grocery",100.0000000000000000,71,3,0,0,0,0,-100.0000000000000000,-3,7,100.0000000000000000,0,0,100.0000000000000000
2026,"2026-02","2026-02-01",10,"Grocery",100.0000000000000000,78,3,0,0,1,0,-100.0000000000000000,-3,7,200.0000000000000000,0,100.0000000000000000,200.0000000000000000
2026,"2026-03","2026-03-01",11,"Grocery",100.0000000000000000,71,3,0,0,0,0,-100.0000000000000000,-3,7,300.0000000000000000,0,200.0000000000000000,300.0000000000000000
2026,"2026-01","2026-01-01",9,"Moving Transport",50.0000000000000000,35,1,0,0,0,0,-50.0000000000000000,0,3,50.0000000000000000,0,0,50.0000000000000000
2026,"2026-02","2026-02-01",10,"Moving Transport",50.0000000000000000,39,1,0,0,0,0,-50.0000000000000000,0,3,100.0000000000000000,0,50.0000000000000000,100.0000000000000000
2026,"2026-03","2026-03-01",11,"Moving Transport",50.0000000000000000,35,1,0,0,0,0,-50.0000000000000000,0,3,150.0000000000000000,0,100.0000000000000000,150.0000000000000000
2026,"2026-01","2026-01-01",9,"Rent",250.0000000000000000,177,8,0,0,2,0,-250.0000000000000000,0,2,250.0000000000000000,0,0,250.0000000000000000
2026,"2026-02","2026-02-01",10,"Rent",250.0000000000000000,196,8,0,0,3,0,-250.0000000000000000,0,2,500.0000000000000000,0,250.0000000000000000,500.0000000000000000
2026,"2026-03","2026-03-01",11,"Rent",250.0000000000000000,177,8,0,0,2,0,-250.0000000000000000,0,2,750.0000000000000000,0,500.0000000000000000,750.0000000000000000
2026,"2026-01","2026-01-01",9,"Stuff",37.5000000000000000,26,1,0,0,0,0,-37.5000000000000000,-1,4,37.5000000000000000,0,0,37.5000000000000000
2026,"2026-02","2026-02-01",10,"Stuff",37.5000000000000000,29,1,0,0,0,0,-37.5000000000000000,-1,4,75.0000000000000000,0,37.5000000000000000,75.0000000000000000
2026,"2026-03","2026-03-01",11,"Stuff",37.5000000000000000,26,1,0,0,0,0,-37.5000000000000000,-1,4,112.5000000000000000,0,75.0000000000000000,112.5000000000000000
2026,"2026-01","2026-01-01",9,"Total",812.5000000000000000,574,0,3,0,0,0,-806.5000000000000000,0,0,812.5000000000000000,3,0,809.5000000000000000
2026,"2026-02","2026-02-01",10,"Total",812.5000000000000000,635,0,2,0,0,0,-808.5000000000000000,0,0,1625.0000000000000000,5,809.5000000000000000,1620.0000000000000000
2026,"2026-03","2026-03-01",11,"Total",812.5000000000000000,574,0,1,0,0,0,-810.5000000000000000,0,0,2437.5000000000000000,6,1620.0000000000000000,2431.5000000000000000
